titles,years,ratings,location,variety
Derby 2016 Derbyshire Vineyard Pinot Gris (San Luis Obispo County),2016,88,Central Coast,Pinot Gris
Santa Barbara Winery 2015 Joughin Vineyard Primitivo (Santa Ynez Valley),2015,88,Central Coast,"Primitivo, Zinfandel"
Mooney Family 2017 Boekenoogen Vineyard Pinot Noir (Santa Lucia Highlands),2017,88,Central Coast,Pinot Noir
SeaGlass 2018 Unoaked Chardonnay (Santa Barbara County),2018,87,Central Coast,Chardonnay
Laetitia 2017 Pinot Noir (Santa Barbara County),2017,87,Central Coast,Pinot Noir
SeaGlass 2018 Sauvignon Blanc (Santa Barbara County),2018,87,Central Coast,Sauvignon Blanc
Donati Family Vineyard 2016 Cabernet Sauvignon (Paicines),2016,87,Central Coast,Cabernet Sauvignon
Esser 2017 Pinot Noir (Monterey County),2017,87,Central Coast,Pinot Noir
Bianchi 2016 Cabernet Sauvignon (Paso Robles),2016,87,Central Coast,Cabernet Sauvignon
Castoro Cellars 2017 Cabernet Sauvignon (Paso Robles),2017,87,Central Coast,Cabernet Sauvignon
Jalama 2016 Refugio Red (Santa Ynez Valley),2016,87,Central Coast,Rhône-style Red Blend
Ravel & Stitch 2018 Sauvignon Blanc (Central Coast),2018,87,Central Coast,Sauvignon Blanc
Bianchi 2017 Loma Verde Vineyard Pinot Noir (Santa Barbara County),2017,87,Central Coast,Pinot Noir
F2 Wines 2016 Falconiere Cabernet Franc (Los Olivos District),2016,87,Central Coast,Cabernet Franc
Bianchi 2015 Zinfandel (Paso Robles),2015,86,Central Coast,Zinfandel
Meeker 2018 Evina Vineyard Verdelho (Contra Costa County),2018,86,Central Coast,"Verdelho, Spanish White"
Alara 2018 Viognier (San Benito County),2018,86,Central Coast,Viognier
Mirassou Sun 2016 Chardonnay (Central Coast),2016,86,Central Coast,Chardonnay
Ravel & Stitch 2017 Cabernet Sauvignon (Central Coast),2017,86,Central Coast,Cabernet Sauvignon
Testarossa 2016 Cuvée Los Gatos Pinot Noir (Monterey),2016,86,Central Coast,Pinot Noir
Esser 2017 Cabernet Sauvignon (Paso Robles),2017,86,Central Coast,Cabernet Sauvignon
Parker Station 2017 Cabernet Sauvignon (Paso Robles),2017,86,Central Coast,Cabernet Sauvignon
Sevtap 2016 Sunday Kind of Love Red (Happy Canyon of Santa Barbara),2016,86,Central Coast,Bordeaux-style Red Blend
Formation 2016 Pinot Noir (Monterey),2016,85,Central Coast,Pinot Noir
Esser 2018 Chardonnay (Monterey County),2018,85,Central Coast,Chardonnay
Esser 2018 Sauvignon Blanc (Monterey County),2018,85,Central Coast,Sauvignon Blanc
Felten Cellars 2016 Old Casteel Vineyard Zinfandel (Paso Robles),2016,85,Central Coast,Zinfandel
Fighting Chance 2017 Pinot Noir (Santa Barbara County),2017,85,Central Coast,Pinot Noir
Foot of the Bed 2017 Pinot Noir (Santa Lucia Highlands),2017,84,Central Coast,Pinot Noir
Cattleya 2017 The Initiation Syrah (Santa Lucia Highlands),2017,96,Central Coast,Syrah
Villa Creek 2016 Avenger Red (Paso Robles),2016,96,Central Coast,Rhône-style Red Blend
Testarossa 2016 Rincon Vineyard Chardonnay (Arroyo Grande Valley),2016,95,Central Coast,Chardonnay
