titles,years,ratings,location,variety
Oso Libre 2007 Nativo Zinfandel (Paso Robles),2007,83,Central Coast,Zinfandel
Sylvester 2007 Le Vigne di Domenico Merlot (Paso Robles),2007,83,Central Coast,Merlot
De Tierra 2006 Estate Grown Merlot (Monterey),2006,83,Central Coast,Merlot
Affaire de Coeur 2008 Lone Oak Vineyard Pinot Noir (Santa Lucia Highlands),2008,83,Central Coast,Pinot Noir
Sylvester 2007 Kiara Private Reserve Sylvester Vineyards Cabernet Sauvignon (Paso Robles),2007,83,Central Coast,Cabernet Sauvignon
Sylvester 2007 Le Vigne di Domenico Petite Sirah (Paso Robles),2007,83,Central Coast,Petite Sirah
Sylvester 2007 Kiara Private Reserve Sylvester Vineyards Sangiovese (Paso Robles),2007,82,Central Coast,Sangiovese
Oso Libre 2007 Quixotic Cabernet Sauvignon (Paso Robles),2007,82,Central Coast,Cabernet Sauvignon
De Tierra 2007 Coast View Vineyard Chardonnay (Monterey),2007,82,Central Coast,Chardonnay
Norman 2008 Reserve Chardonnay (Edna Valley),2008,82,Central Coast,Chardonnay
Norman 2007 The Monster Zinfandel (Paso Robles),2007,81,Central Coast,Zinfandel
Sylvester 2007 Kiara Private Reserve Syrah (Paso Robles),2007,80,Central Coast,Syrah
Testarossa 2008 Bien Nacido Vineyard Chardonnay (Santa Maria Valley),2008,94,Central Coast,Chardonnay
Testarossa 2008 Sleepy Hollow Vineyard Chardonnay (Santa Lucia Highlands),2008,94,Central Coast,Chardonnay
Testarossa 2008 Bien Nacido Vineyard Pinot Noir (Santa Maria Valley),2008,94,Central Coast,Pinot Noir
Testarossa 2008 Sierra Madre Vineyard Pinot Noir (Santa Maria Valley),2008,94,Central Coast,Pinot Noir
Testarossa 2008 Sierra Madre Vineyard Chardonnay (Santa Maria Valley),2008,93,Central Coast,Chardonnay
Testarossa 2008 Brosseau Vineyard Chardonnay (Chalone),2008,92,Central Coast,Chardonnay
Testarossa 2007 Bien Nacido Chardonnay (Santa Maria Valley),2007,92,Central Coast,Chardonnay
Bruliam 2008 Doctor's Vineyard Pinot Noir (Santa Lucia Highlands),2008,91,Central Coast,Pinot Noir
Rockroom Winemaking Cooperative 2006 White Hawk Vineyard Syrah (Santa Barbara County),2006,91,Central Coast,Syrah
Jaffurs 2008 Thompson Vineyard Grenache Blanc (Santa Barbara County),2008,90,Central Coast,"Grenache Blanc, Other White"
Coastview 2007 North Block Syrah (Monterey County),2007,90,Central Coast,Syrah
Tondré 2007 Tondré Grapefield Pinot Noir (Santa Lucia Highlands),2007,90,Central Coast,Pinot Noir
Jaffurs 2008 Viognier (Santa Barbara County),2008,90,Central Coast,Viognier
George IV 2006 Sleepy Hollow Vineyard Pinot Noir (Santa Lucia Highlands),2006,90,Central Coast,Pinot Noir
Jaffurs 2008 Larner Vineyard Syrah (Santa Barbara County),2008,89,Central Coast,Syrah
Testarossa 2008 Palazzio Pinot Noir (Central Coast),2008,88,Central Coast,Pinot Noir
Jaffurs 2008 Thompson Vineyard Petite Sirah (Santa Barbara County),2008,88,Central Coast,Petite Sirah
Jaffurs 2007 Grenache (Santa Barbara County),2007,87,Central Coast,Grenache
Infinity 2008 Red (Central Coast),2008,87,Central Coast,Rhône-style Red Blend
Coastview 2008 The Terraces Chardonnay (Monterey County),2008,87,Central Coast,Chardonnay
Vine Hill 2007 Pinot Noir (Santa Cruz Mountains),2007,87,Central Coast,Pinot Noir
Claiborne & Churchill 2007 Pinot Gris (Central Coast),2007,87,Central Coast,Pinot Gris
Calcareous 2007 Cabernet Franc (Paso Robles),2007,87,Central Coast,Cabernet Franc
George IV 2008 Doctor's Vineyard Pinot Noir (Santa Lucia Highlands),2008,87,Central Coast,Pinot Noir
Cumbre of Vine Hill 2007 Barrel 31 Pinot Noir (Santa Cruz Mountains),2007,87,Central Coast,Pinot Noir
Rockroom Winemaking Cooperative 2008 Lone Oak Vineyard Pinot Noir (Santa Lucia Highlands),2008,87,Central Coast,Pinot Noir
Clayhouse 2007 Red Cedar Vineyard Show Pony Petite Sirah (Paso Robles),2007,87,Central Coast,Petite Sirah
Claiborne & Churchill 2007 Runestone Pinot Noir (Edna Valley),2007,86,Central Coast,Pinot Noir
Jaffurs 2008 Syrah (Santa Barbara County),2008,86,Central Coast,Syrah
Testarossa 2008 Sleepy Hollow Vineyard Pinot Noir (Santa Lucia Highlands),2008,86,Central Coast,Pinot Noir
George IV 2006 White Hawk Vineyard Syrah (Santa Barbara County),2006,86,Central Coast,Syrah
Sunstone 2006 Doce Da Alma Syrah (Santa Ynez Valley),2006,86,Central Coast,Syrah
Hawk Crest 2007 Chardonnay (Monterey County),2007,85,Central Coast,Chardonnay
Claiborne & Churchill 2007 Dry Riesling (Central Coast),2007,85,Central Coast,Riesling
Sunstone 2006 Reserve Syrah (Santa Ynez Valley),2006,85,Central Coast,Syrah
Tre 2008 Chardonnay (Monterey County),2008,84,Central Coast,Chardonnay
Bloomfield 2007 Pinot Noir (San Francisco Bay),2007,84,Central Coast,Pinot Noir
Infinity 2008 White (Central Coast),2008,84,Central Coast,Rhône-style White Blend
Sunstone 2006 Syrah (Santa Ynez Valley),2006,84,Central Coast,Syrah
Bloomfield 2007 Cabernet Sauvignon (San Francisco Bay),2007,83,Central Coast,Cabernet Sauvignon
Claiborne & Churchill 2007 Pinot Noir (Edna Valley),2007,81,Central Coast,Pinot Noir
Bloomfield 2006 Syrah (Contra Costa County),2006,81,Central Coast,Syrah
Bloomfield 2008 Devil's Daughter White (Contra Costa County),2008,80,Central Coast,White Blend
Bloomfield 2008 Chardonnay (Contra Costa County),2008,80,Central Coast,Chardonnay
Stolpman 2007 La Croce Red (Santa Ynez Valley),2007,96,Central Coast,"Red Blends, Red Blends"
Zaca Mesa 2006 Black Bear Block Syrah (Santa Ynez Valley),2006,94,Central Coast,Syrah
Byron 2007 Julia's Vineyard Pinot Noir (Santa Maria Valley),2007,94,Central Coast,Pinot Noir
Byron 2007 Monument Pinot Noir (Santa Maria Valley),2007,94,Central Coast,Pinot Noir
Longoria 2007 Clover Creek Vineyard Tempranillo (Santa Ynez Valley),2007,93,Central Coast,Tempranillo
Cadre 2007 The Architects Pinot Noir (Central Coast),2007,93,Central Coast,Pinot Noir
Windstream 2007 Sarmento Vineyards Chardonnay (Santa Lucia Highlands),2007,93,Central Coast,Chardonnay
Justin 2007 Reserve Cabernet Sauvignon (Paso Robles),2007,93,Central Coast,Cabernet Sauvignon
Fleming Jenkins 2007 Madden Ranch Syrah (Livermore Valley),2007,93,Central Coast,Syrah
Byron 2007 Bien Nacido Vineyard Pinot Noir (Santa Maria Valley),2007,93,Central Coast,Pinot Noir
Cambria 2007 Clone 2A Pinot Noir (Santa Maria Valley),2007,92,Central Coast,Pinot Noir
Cambria 2007 Clone 4 Julia's Pinot Noir (Santa Maria Valley),2007,92,Central Coast,Pinot Noir
Heart O' The Mountain 2007 Pommard Clone Pinot Noir (Santa Cruz Mountains),2007,92,Central Coast,Pinot Noir
Mark Moretti 2007 Syrah (Santa Barbara County),2007,91,Central Coast,Syrah
Coquelicot 2007 Black Oak Vineyard Syrah (Santa Ynez Valley),2007,91,Central Coast,Syrah
Manzoni 2007 Syrah (Santa Lucia Highlands),2007,91,Central Coast,Syrah
Cimarone 2007 Gran Premio Three Creek Vineyard Sangiovese (Santa Ynez Valley),2007,91,Central Coast,Sangiovese
Justin 2007 Cabernet Sauvignon (Paso Robles),2007,90,Central Coast,Cabernet Sauvignon
Cambria 2007 Clone 23 Pinot Noir (Santa Maria Valley),2007,90,Central Coast,Pinot Noir
Bianchi 2006 Lakeside Ranch Cabernet Sauvignon (Paso Robles),2006,90,Central Coast,Cabernet Sauvignon
Longoria 2008 Clover Creek Vineyard Albariño (Santa Ynez Valley),2008,90,Central Coast,Albariño
Heart O' The Mountain 2006 Estate Pinot Noir (Santa Cruz Mountains),2006,90,Central Coast,Pinot Noir
Fleming Jenkins 2007 Black Ridge Vineyard Syrah (Santa Cruz Mountains),2007,90,Central Coast,Syrah
Tin House 2007 Pinot Noir (Santa Maria Valley),2007,89,Central Coast,Pinot Noir
Koehler 2008 Sauvignon Blanc (Santa Ynez Valley),2008,89,Central Coast,Sauvignon Blanc
Hunt Cellars 2004 Maestro Red (Paso Robles),2004,88,Central Coast,"Red Blends, Red Blends"
Hahn Estates 2007 Cabernet Sauvignon (Central Coast),2007,88,Central Coast,Cabernet Sauvignon
Coquelicot 2007 Estate Riesling (Santa Ynez Valley),2007,88,Central Coast,Riesling
McIntyre Vineyards 2008 Estate Chardonnay (Santa Lucia Highlands),2008,88,Central Coast,Chardonnay
HammerSky 2007 Party of Four Estate Grown Red (Paso Robles),2007,88,Central Coast,Bordeaux-style Red Blend
Windstream 2008 Sarmento Vineyards Pinot Noir (Santa Lucia Highlands),2008,88,Central Coast,Pinot Noir
Acre 2008 Chardonnay (Central Coast),2008,87,Central Coast,Chardonnay
Calera 2008 Chardonnay (Mt. Harlan),2008,87,Central Coast,Chardonnay
Longoria 2007 Blues Cuvée Red (Santa Barbara County),2007,87,Central Coast,"Red Blends, Red Blends"
Courtney Benham 2007 Petite Sirah (Paso Robles),2007,87,Central Coast,Petite Sirah
Harmony Cellars 2008 White Riesling (Monterey County),2008,87,Central Coast,"White Riesling, Riesling"
Bianchi 2008 El Camino Vineyard Chardonnay (Santa Barbara County),2008,87,Central Coast,Chardonnay
Christian Lazo 2007 Cabernet Franc (Paso Robles),2007,87,Central Coast,Cabernet Franc
Cycles Gladiator 2008 Pinot Grigio (Central Coast),2008,87,Central Coast,Pinot Grigio
Koehler 2007 Oak Savanna Vineyard Sangiovese (Santa Ynez Valley),2007,87,Central Coast,Sangiovese
Stolpman 2006 Estate grown Sangiovese (Santa Ynez Valley),2006,87,Central Coast,Sangiovese
Bianchi 2008 Signature Selection Sauvignon Blanc (Monterey),2008,87,Central Coast,Sauvignon Blanc
Cambria 2007 Clone 115 Pinot Noir (Santa Maria Valley),2007,87,Central Coast,Pinot Noir
D'Anbino 2004 Cabernet Sauvignon (Paso Robles),2004,87,Central Coast,Cabernet Sauvignon
Stolpman 2007 Estate Syrah (Santa Ynez Valley),2007,87,Central Coast,Syrah
Vina Robles 2007 Huerhuero Cabernet Sauvignon (Paso Robles),2007,87,Central Coast,Cabernet Sauvignon
Pessagno 2007 Spring Grove Vineyards Pinot Noir (San Benito County),2007,87,Central Coast,Pinot Noir
Calera 2008 Viognier (Mt. Harlan),2008,86,Central Coast,Viognier
Hahn Estates 2008 Chardonnay (Monterey),2008,86,Central Coast,Chardonnay
Acre 2007 Merlot (Central Coast),2007,86,Central Coast,Merlot
Cimarone 2008 3CV Syrah (Santa Ynez Valley),2008,86,Central Coast,Syrah
Coquelicot 2007 Estate Chardonnay (Santa Ynez Valley),2007,86,Central Coast,Chardonnay
Christian Lazo 2007 Zinfandel (Paso Robles),2007,86,Central Coast,Zinfandel
Sunstone 2006 Estate Cabernet Sauvignon (Santa Ynez Valley),2006,86,Central Coast,Cabernet Sauvignon
Midnight 2006 Solstice Malbec (Paso Robles),2006,86,Central Coast,Malbec
Coquelicot 2006 Mon Amour Red (Santa Ynez Valley),2006,86,Central Coast,Bordeaux-style Red Blend
Harmony Cellars 2007 Cabernet Sauvignon (Paso Robles),2007,86,Central Coast,Cabernet Sauvignon
Christian Lazo 2007 Barbera (Paso Robles),2007,86,Central Coast,Barbera
Manzoni 2007 Pinot Noir (Santa Lucia Highlands),2007,86,Central Coast,Pinot Noir
Fleming Jenkins 2008 Jenkins Vineyard Chardonnay (Santa Cruz Mountains),2008,86,Central Coast,Chardonnay
HammerSky 2007 Limited Resource Estate Grown Cabernet Sauvignon (Paso Robles),2007,86,Central Coast,Cabernet Sauvignon
Bianchi 2006 Garey Vineyard Signature Selection Pinot Noir (Santa Maria Valley),2006,86,Central Coast,Pinot Noir
Bianchi 2008 Los Alamos Vineyard Pinot Grigio (Santa Barbara County),2008,86,Central Coast,Pinot Grigio
Manzoni 2007 Private Reserve Pinot Noir (Santa Lucia Highlands),2007,86,Central Coast,Pinot Noir
Hahn Estates 2007 Merlot (Monterey),2007,85,Central Coast,Merlot
Calera 2008 Chardonnay (Central Coast),2008,85,Central Coast,Chardonnay
Sunstone 2008 Sauvignon Blanc (Santa Barbara County),2008,85,Central Coast,Sauvignon Blanc
Acre 2007 Cabernet Sauvignon (Central Coast),2007,85,Central Coast,Cabernet Sauvignon
Cycles Gladiator 2008 Chardonnay (Central Coast),2008,85,Central Coast,Chardonnay
Kings Mountain 2006 Pinot Noir (Santa Cruz Mountains),2006,85,Central Coast,Pinot Noir
Kings Mountain 2007 Pinot Noir (Santa Cruz Mountains),2007,85,Central Coast,Pinot Noir
Longoria 2007 Evidence Red (Santa Barbara County),2007,85,Central Coast,Bordeaux-style Red Blend
Sunstone 2006 Reserve Merlot (Santa Ynez Valley),2006,85,Central Coast,Merlot
Sunstone 2006 Eros Estate Red (Santa Ynez Valley),2006,85,Central Coast,Bordeaux-style Red Blend
Maddalena 2006 Cabernet Sauvignon (Paso Robles),2006,84,Central Coast,Cabernet Sauvignon
Hunt Cellars 2005 Bon Vivant Cabernet Sauvignon (Paso Robles),2005,84,Central Coast,Cabernet Sauvignon
Bianchi 2006 Plummer Vineyard Petite Sirah (Paso Robles),2006,84,Central Coast,Petite Sirah
Cimarone 2008 Bank Red (Santa Ynez Valley),2008,84,Central Coast,"Red Blends, Red Blends"
Clautiere 2005 BDX Estate Grown Red (Paso Robles),2005,84,Central Coast,Bordeaux-style Red Blend
Coquelicot 2007 Estate Sauvignon Blanc (Santa Ynez Valley),2007,84,Central Coast,Sauvignon Blanc
Eagle Castle 2007 Syrah (Paso Robles),2007,84,Central Coast,Syrah
Sunstone 2008 Reserve Chardonnay (Santa Barbara County),2008,84,Central Coast,Chardonnay
Bianchi 2006 Zen Ranch Zinfandel (Paso Robles),2006,84,Central Coast,Zinfandel
Clautiere 2004 Estate Cabernet Sauvignon (Paso Robles),2004,84,Central Coast,Cabernet Sauvignon
Castle Rock 2007 Cabernet Sauvignon (Paso Robles),2007,84,Central Coast,Cabernet Sauvignon
Harmony Cellars 2007 Diamond Reserve Petite Sirah (Paso Robles),2007,84,Central Coast,Petite Sirah
Sunstone 2006 Rapsodie Du Soleil Red (Santa Barbara County),2006,84,Central Coast,Rhône-style Red Blend
Millésimé 2006 Lumiere Du Fleur Red (Santa Ynez Valley),2006,84,Central Coast,Bordeaux-style Red Blend
Bianchi 2006 Merlot (Paso Robles),2006,83,Central Coast,Merlot
Survivant 2008 Syrah (Santa Barbara County),2008,83,Central Coast,Syrah
Hahn 2008 Syrah (Central Coast),2008,83,Central Coast,Syrah
Cycles Gladiator 2008 Syrah (Central Coast),2008,83,Central Coast,Syrah
Coquelicot 2007 Estate Sangiovese (Santa Ynez Valley),2007,83,Central Coast,Sangiovese
Kings Mountain 2005 Pinot Noir (Santa Cruz Mountains),2005,82,Central Coast,Pinot Noir
Sonnet 2007 Tondre's Grapefield Pinot Noir (Santa Lucia Highlands),2007,82,Central Coast,Pinot Noir
Eagle Castle 2007 Petite Sirah (Paso Robles),2007,82,Central Coast,Petite Sirah
Manzoni 2007 Chardonnay (Santa Lucia Highlands),2007,82,Central Coast,Chardonnay
San Simeon 2006 Syrah (Paso Robles),2006,82,Central Coast,Syrah
Harmony Cellars 2007 Chardonnay (Central Coast),2007,81,Central Coast,Chardonnay
Sunstone 2007 Syrah Rosé (Santa Ynez Valley),2007,81,Central Coast,Rosé
Sunstone 2006 Estate Merlot (Santa Ynez Valley),2006,81,Central Coast,Merlot
Kings Mountain 2004 Pinot Noir (Santa Cruz Mountains),2004,80,Central Coast,Pinot Noir
Sea Smoke 2007 Ten Pinot Noir (Sta. Rita Hills),2007,97,Central Coast,Pinot Noir
Boekenoogen 2007 Chardonnay (Santa Lucia Highlands),2007,96,Central Coast,Chardonnay
Sea Smoke 2007 Southing Pinot Noir (Sta. Rita Hills),2007,95,Central Coast,Pinot Noir
Paul Lato 2007 Fiddlestix Vineyard Pinot Noir (Sta. Rita Hills),2007,95,Central Coast,Pinot Noir
Coquelicot 2007 Estate Syrah (Santa Ynez Valley),2007,93,Central Coast,Syrah
Cambria 2007 Clone 667 Pinot Noir (Santa Maria Valley),2007,93,Central Coast,Pinot Noir
Longoria 2007 Fe Ciega Vineyard Pinot Noir (Sta. Rita Hills),2007,93,Central Coast,Pinot Noir
Tyler 2006 Dierberg Pinot Noir (Santa Maria Valley),2006,92,Central Coast,Pinot Noir
Justin 2007 Justification Red (Paso Robles),2007,92,Central Coast,Bordeaux-style Red Blend
Morgan 2007 Garys' Vineyard Pinot Noir (Santa Lucia Highlands),2007,92,Central Coast,Pinot Noir
Chanin 2007 Le Bon Climat Vineyard Pinot Noir (Santa Maria Valley),2007,92,Central Coast,Pinot Noir
Thomas Fogarty 2007 Rapley Trail Vineyard Block B Estate Pinot Noir (Santa Cruz Mountains),2007,92,Central Coast,Pinot Noir
Thomas Fogarty 2007 Rapley Trail Vineyard Block M Estate Pinot Noir (Santa Cruz Mountains),2007,92,Central Coast,Pinot Noir
Thomas Fogarty 2007 Windy Hill Vineyard Estate Pinot Noir (Santa Cruz Mountains),2007,92,Central Coast,Pinot Noir
Hestan 2007 Chardonnay (San Francisco Bay),2007,91,Central Coast,Chardonnay
Justin 2007 Savant Red (Paso Robles),2007,91,Central Coast,"Red Blends, Red Blends"
Siduri 2008 Garys' Vineyard Pinot Noir (Santa Lucia Highlands),2008,90,Central Coast,Pinot Noir
San Saba 2006 San Saba Vineyard Pinot Noir (Monterey),2006,90,Central Coast,Pinot Noir
Thomas Fogarty 2007 Rapley Trail Vineyard Estate Pinot Noir (Santa Cruz Mountains),2007,90,Central Coast,Pinot Noir
Drake 2005 Bien Nacido Vineyard H Block Pinot Noir (Santa Maria Valley),2005,90,Central Coast,Pinot Noir
Tyler 2007 Dierberg Block Five Pinot Noir (Santa Maria Valley),2007,90,Central Coast,Pinot Noir
Labyrinth 2005 Haka Reserve Pinot Noir (Santa Maria Valley),2005,89,Central Coast,Pinot Noir
Paraiso Vineyards 2007 West Terrace Pinot Noir (Santa Lucia Highlands),2007,89,Central Coast,Pinot Noir
Adelaida 2008 The Glenrose Vineyard Viognier (Paso Robles),2008,88,Central Coast,Viognier
Estancia 2008 Pinnacles Ranches Sauvignon Blanc (Monterey County),2008,88,Central Coast,Sauvignon Blanc
Labyrinth 2007 Bien Nacido Vineyard Pinot Noir (Santa Maria Valley),2007,88,Central Coast,Pinot Noir
Brophy Clark 2007 Pinot Noir (Santa Maria Valley),2007,88,Central Coast,Pinot Noir
Siduri 2008 Cargasacchi Vineyard Pinot Noir (Sta. Rita Hills),2008,88,Central Coast,Pinot Noir
Ampelos 2007 Fiddlestix Vineyard Pinot Noir (Sta. Rita Hills),2007,88,Central Coast,Pinot Noir
Ampelos 2007 Huber Vineyard Dornfelder (Sta. Rita Hills),2007,88,Central Coast,"Dornfelder, Other Red"
Adelaida 2008 Version White (Paso Robles),2008,88,Central Coast,Rhône-style White Blend
Labyrinth 2007 Pinot Noir (Santa Barbara County),2007,87,Central Coast,Pinot Noir
Estancia 2007 Shiraz (Central Coast),2007,87,Central Coast,Shiraz
Tyler 2007 Presidio Pinot Noir (Santa Barbara County),2007,87,Central Coast,Pinot Noir
Ancient Peaks 2008 Sauvignon Blanc (Paso Robles),2008,87,Central Coast,Sauvignon Blanc
Boekenoogen 2007 Pinot Noir (Santa Lucia Highlands),2007,87,Central Coast,Pinot Noir
Thomas Fogarty 2005 Cabernet Sauvignon (Santa Cruz Mountains),2005,87,Central Coast,Cabernet Sauvignon
Paul Lato 2007 Gold Coast Vineyard Pinot Noir (Santa Maria Valley),2007,87,Central Coast,Pinot Noir
Fenestra 2008 Ghielmetti Vineyard Sauvignon Blanc (Livermore Valley),2008,86,Central Coast,Sauvignon Blanc
Siduri 2008 Pisoni Vineyard Pinot Noir (Santa Lucia Highlands),2008,86,Central Coast,Pinot Noir
Clautiere 2005 Grand Rouge Red (Paso Robles),2005,86,Central Coast,"Red Blends, Red Blends"
Hearthstone 2007 Estate Grown Grenache (Paso Robles),2007,86,Central Coast,Grenache
Addamo 2006 Sand Lot Pinot Noir (Santa Maria Valley),2006,86,Central Coast,Pinot Noir
Nagy 2 2007 Garey Ranch Pinot Noir (Santa Maria Valley),2007,86,Central Coast,Pinot Noir
Robert Hall 2006 Vintage Port (Paso Robles),2006,85,Central Coast,"Port, Port Blend"
Liberty School 2007 Cabernet Sauvignon (Paso Robles),2007,85,Central Coast,Cabernet Sauvignon
Siduri 2008 Pinot Noir (Santa Lucia Highlands),2008,85,Central Coast,Pinot Noir
Eagle Castle 2007 Barbera (Paso Robles),2007,84,Central Coast,Barbera
Hess Select 2008 Chardonnay (Monterey),2008,84,Central Coast,Chardonnay
Estancia 2008 Pinnacles Ranches Chardonnay (Monterey County),2008,84,Central Coast,Chardonnay
Liberty School 2007 Chardonnay (Central Coast),2007,84,Central Coast,Chardonnay
Estancia 2007 Reserve Pinot Noir (Santa Lucia Highlands),2007,84,Central Coast,Pinot Noir
Liberty School 2007 Syrah (Central Coast),2007,84,Central Coast,Syrah
Thomas Fogarty 2007 Estate Grown Pinot Noir (Santa Cruz Mountains),2007,84,Central Coast,Pinot Noir
Calcareous 2008 Chardonnay (Central Coast),2008,83,Central Coast,Chardonnay
Fenestra 2008 White Riesling (Arroyo Seco),2008,83,Central Coast,"White Riesling, Riesling"
Big House 2007 The Slammer Syrah (Santa Barbara County),2007,83,Central Coast,Syrah
Wild Horse 2008 Chardonnay (Central Coast),2008,83,Central Coast,Chardonnay
Robert Hall 2008 Viognier (Paso Robles),2008,83,Central Coast,Viognier
Fenestra 2006 Estate Syrah (Livermore Valley),2006,82,Central Coast,Syrah
Estancia 2008 Pinnacles Ranches Pinot Noir (Monterey County),2008,82,Central Coast,Pinot Noir
Fenestra 2007 Ghielmetti Vineyard Malbec (Livermore Valley),2007,82,Central Coast,Malbec
Calcareous 2008 Twisted Sisters Chardonnay (Central Coast),2008,82,Central Coast,Chardonnay
Fenestra 2006 Thatcher Bay Vineyard Cabernet Sauvignon (Livermore Valley),2006,82,Central Coast,Cabernet Sauvignon
Fenestra 2008 Viognier (Contra Costa County),2008,82,Central Coast,Viognier
Eagle Castle 2007 Royal Red Red (Paso Robles),2007,82,Central Coast,"Red Blends, Red Blends"
Adelaida 2007 Michael's Estate Vineyard Zinfandel (Paso Robles),2007,82,Central Coast,Zinfandel
Midnight 2007 Aquarius Pinot Noir (Paso Robles),2007,82,Central Coast,Pinot Noir
Midnight 2008 Aurora Reserve White (Paso Robles),2008,82,Central Coast,White Blend
Eagle Castle 2008 Chardonnay (Paso Robles),2008,81,Central Coast,Chardonnay
Fenestra 2007 Estate Mourvèdre (Livermore Valley),2007,81,Central Coast,Mourvèdre
Midnight 2007 Estate Zinfandel (Paso Robles),2007,81,Central Coast,Zinfandel
Williams Selyem 2007 Vista Verde Vineyard Pinot Noir (San Benito County),2007,95,Central Coast,Pinot Noir
Rusack 2007 Ballard Canyon Estate Syrah (Santa Barbara County),2007,93,Central Coast,Syrah
Wente 2006 Small Lot Merlot (Arroyo Seco),2006,92,Central Coast,Merlot
Baileyana 2006 Grand Firepeak Cuvée Syrah (Edna Valley),2006,92,Central Coast,Syrah
Tangent 2008 Paragon Vineyard Viognier (Edna Valley),2008,92,Central Coast,Viognier
McIntyre Vineyards 2007 Estate Pinot Noir (Santa Lucia Highlands),2007,92,Central Coast,Pinot Noir
Tangent 2008 Paragon Vineyard Sauvignon Blanc (Edna Valley),2008,91,Central Coast,Sauvignon Blanc
Tangent 2008 Paragon Vineyard Albariño (Edna Valley),2008,91,Central Coast,Albariño
Tangent 2008 Paragon Vineyard Riesling (Edna Valley),2008,91,Central Coast,Riesling
Baileyana 2007 La Entrada Pinot Noir (Edna Valley),2007,91,Central Coast,Pinot Noir
Rusack 2007 Syrah (Santa Barbara County),2007,91,Central Coast,Syrah
Brander 2008 Colson Canyon Vineyard Syrah (Santa Barbara County),2008,90,Central Coast,Syrah
Gainey 2007 Limited Selection Pinot Noir (Sta. Rita Hills),2007,90,Central Coast,Pinot Noir
Brander 2008 Mesa Verde Vineyard Syrah (Santa Barbara County),2008,90,Central Coast,Syrah
Robert Hall 2007 Syrah (Paso Robles),2007,90,Central Coast,Syrah
Baileyana 2007 Grand Firepeak Cuvée Chardonnay (Edna Valley),2007,90,Central Coast,Chardonnay
Baileyana 2007 El Pico Pinot Noir (Edna Valley),2007,89,Central Coast,Pinot Noir
Baileyana 2007 Grand Firepeak Cuvée Pinot Noir (Edna Valley),2007,89,Central Coast,Pinot Noir
Castle Rock 2008 Riesling (Monterey County),2008,88,Central Coast,Riesling
Fenestra 2008 Sémillon (Livermore Valley),2008,88,Central Coast,Sémillon
J. Lohr 2007 Arroyo Vista Chardonnay (Arroyo Seco),2007,88,Central Coast,Chardonnay
Robert Hall 2007 Cabernet Sauvignon (Paso Robles),2007,88,Central Coast,Cabernet Sauvignon
Calcareous 2007 Twisted Sisters Cabernet Sauvignon (Central Coast),2007,88,Central Coast,Cabernet Sauvignon
Brander 2008 Clover Creek Vineyard Syrah (Santa Barbara County),2008,88,Central Coast,Syrah
Brander 2008 Syrah (Santa Ynez Valley),2008,88,Central Coast,Syrah
Halter Ranch 2005 Ancestor Estate Reserve Red (Paso Robles),2005,88,Central Coast,"Red Blends, Red Blends"
No 2008 Chardonnay (Monterey County),2008,87,Central Coast,Chardonnay
Eberle 2008 Muscat Canelli (Paso Robles),2008,87,Central Coast,"Muscat Canelli, Muscat"
Steven Kent 2006 Ghielmetti Vineyard Cabernet Sauvignon (Livermore Valley),2006,87,Central Coast,Cabernet Sauvignon
Koehler 2007 Pinot Noir (Sta. Rita Hills),2007,87,Central Coast,Pinot Noir
Peachy Canyon 2007 Mustang Springs Zinfandel (Paso Robles),2007,87,Central Coast,Zinfandel
Steven Kent 2006 Home Ranch Cabernet Sauvignon (Livermore Valley),2006,87,Central Coast,Cabernet Sauvignon
La Rochelle 2007 Classic Clones Pinot Noir (Arroyo Seco),2007,87,Central Coast,Pinot Noir
Gainey 2008 Limited Selection Sauvignon Blanc (Santa Ynez Valley),2008,87,Central Coast,Sauvignon Blanc
J. Lohr 2007 Fog's Reach Vineyard Pinot Noir (Arroyo Seco),2007,87,Central Coast,Pinot Noir
Terry Hoage 2007 5 Blocks Red (Paso Robles),2007,87,Central Coast,Rhône-style Red Blend
J. Lohr 2006 October Night Vineyard Chardonnay (Arroyo Seco),2006,86,Central Coast,Chardonnay
Muirwood 2008 Chardonnay (Arroyo Seco),2008,86,Central Coast,Chardonnay
Terry Hoage 2007 The Pick Red (Paso Robles),2007,86,Central Coast,Rhône-style Red Blend
Jalama 2006 La Presa Syrah (Santa Barbara County),2006,86,Central Coast,Syrah
Gainey 2007 Limited Selection Chardonnay (Sta. Rita Hills),2007,86,Central Coast,Chardonnay
Jalama 2006 Paradise Road Syrah (Santa Barbara County),2006,86,Central Coast,Syrah
Calcareous 2007 Pinot Noir (York Mountain),2007,86,Central Coast,Pinot Noir
Peachy Canyon 2007 Especial Zinfandel (Paso Robles),2007,86,Central Coast,Zinfandel
Lloyd of Calcareous 2006 Moose Cabernet Sauvignon (Paso Robles),2006,86,Central Coast,Cabernet Sauvignon
Paraiso Vineyards 2004 Syrah (Santa Lucia Highlands),2004,86,Central Coast,Syrah
Muirwood 2007 Suter Vineyard Pinot Noir (Arroyo Seco),2007,86,Central Coast,Pinot Noir
Wente 2008 Riva Ranch Chardonnay (Arroyo Seco),2008,86,Central Coast,Chardonnay
Clayhouse 2007 Cabernet Sauvignon (Paso Robles),2007,86,Central Coast,Cabernet Sauvignon
Muirwood 2007 Merlot (Arroyo Seco),2007,85,Central Coast,Merlot
